id,city,date,time,latitude,longitude,weather,road_condition,severity
1,Chennai,2023-01-01,00:00:00,18.991538529764117,73.62756744387326,rain,dry,minor
2,Kolkata,2023-01-01,01:00:00,21.413999331854257,75.51083792509061,clear,dry,serious
3,Bangalore,2023-01-01,02:00:00,28.192246411607066,84.76403797714792,clear,wet,fatal
4,Kolkata,2023-01-01,03:00:00,13.858379173836145,85.8788921833043,clear,wet,minor
5,Kolkata,2023-01-01,04:00:00,23.10825631848832,82.3213439203986,cloudy,dry,minor
6,Mumbai,2023-01-01,05:00:00,13.978276218940387,82.74632839711408,fog,under_construction,minor
7,Bangalore,2023-01-01,06:00:00,18.769955962617356,72.95056546109582,clear,dry,minor
8,Bangalore,2023-01-01,07:00:00,25.580651268575803,85.67363112734598,clear,wet,minor
9,Bangalore,2023-01-01,08:00:00,19.692208500814587,85.0335758099162,rain,wet,minor
10,Kolkata,2023-01-01,09:00:00,28.65519942705691,76.61865879124322,clear,dry,minor
11,Chennai,2023-01-01,10:00:00,21.689042630650974,83.76795984745156,rain,dry,minor
12,Bangalore,2023-01-01,11:00:00,17.90647822691166,75.91618824215747,snow,wet,fatal
13,Hyderabad,2023-01-01,12:00:00,16.299770081885576,73.14124956071906,rain,dry,minor
14,Kolkata,2023-01-01,13:00:00,18.373276495149973,75.698071027187,rain,wet,minor
15,Mumbai,2023-01-01,14:00:00,18.72327905277686,75.34019914039337,rain,dry,fatal
16,Chennai,2023-01-01,15:00:00,13.89254747581098,77.87019314808407,cloudy,wet,minor
17,Hyderabad,2023-01-01,16:00:00,18.676229770885694,79.15334700508978,cloudy,dry,minor
18,Hyderabad,2023-01-01,17:00:00,20.181392463853676,80.58576837481355,rain,dry,minor
19,Mumbai,2023-01-01,18:00:00,24.291530260596993,80.08038662058242,clear,dry,minor
20,Chennai,2023-01-01,19:00:00,23.241998807073564,76.8037262348481,clear,wet,serious
21,Kolkata,2023-01-01,20:00:00,24.069373918143555,72.96381363032778,clear,dry,minor
22,Delhi,2023-01-01,21:00:00,12.932982541842028,82.1211157935707,rain,dry,minor
23,Chennai,2023-01-01,22:00:00,16.260911653330524,78.79234279457293,rain,icy,minor
24,Mumbai,2023-01-01,23:00:00,23.320780185557716,77.24888730246204,clear,wet,fatal
25,Hyderabad,2023-01-02,00:00:00,20.49543095405798,86.28436258100515,clear,dry,minor
26,Kolkata,2023-01-02,01:00:00,12.884484263126701,84.37321859399074,clear,under_construction,minor
27,Chennai,2023-01-02,02:00:00,25.591464814665976,86.13847221912184,cloudy,wet,minor
28,Delhi,2023-01-02,03:00:00,25.087672215316363,80.37022643592813,rain,dry,minor
29,Delhi,2023-01-02,04:00:00,21.519864691597647,74.58180690881576,rain,dry,minor
30,Bangalore,2023-01-02,05:00:00,13.856766879842727,83.56992083432823,clear,wet,minor
31,Bangalore,2023-01-02,06:00:00,24.987589287568095,75.77657310100109,rain,wet,minor
32,Mumbai,2023-01-02,07:00:00,22.081046044928687,79.5155517385583,clear,dry,minor
33,Chennai,2023-01-02,08:00:00,25.23316363681155,73.53351254428733,rain,dry,minor
34,Chennai,2023-01-02,09:00:00,24.75277717909386,85.62240359852542,clear,dry,minor
35,Hyderabad,2023-01-02,10:00:00,25.56773294412961,74.50245619265526,clear,dry,serious
36,Hyderabad,2023-01-02,11:00:00,21.036328255833535,86.85925036208403,clear,dry,minor
37,Hyderabad,2023-01-02,12:00:00,15.031159839276889,86.24126657595876,clear,dry,minor
38,Bangalore,2023-01-02,13:00:00,23.47140382673705,79.88686595458401,cloudy,wet,minor
39,Chennai,2023-01-02,14:00:00,22.66553318232633,84.33545444843345,clear,wet,minor
40,Chennai,2023-01-02,15:00:00,24.601825676465488,82.34917667370864,clear,dry,minor
41,Delhi,2023-01-02,16:00:00,15.501107996206692,85.26890271317015,rain,dry,serious
42,Bangalore,2023-01-02,17:00:00,15.900105678414599,79.365701102496,cloudy,dry,minor
43,Kolkata,2023-01-02,18:00:00,26.957511323787323,84.99435489948517,clear,dry,fatal
44,Bangalore,2023-01-02,19:00:00,24.724646995387925,79.85306339133585,fog,under_construction,fatal
45,Kolkata,2023-01-02,20:00:00,27.240832970335134,87.46135602670043,cloudy,wet,minor
46,Delhi,2023-01-02,21:00:00,24.86357360650634,80.23331640311984,clear,dry,serious
47,Mumbai,2023-01-02,22:00:00,22.2947693652458,79.85564642374631,clear,dry,minor
48,Chennai,2023-01-02,23:00:00,23.200710518743193,84.98264259885985,clear,dry,minor
49,Delhi,2023-01-03,00:00:00,26.93713399064616,85.56308529899732,snow,wet,minor
50,Chennai,2023-01-03,01:00:00,22.003027396739853,81.31637691770662,clear,dry,minor
51,Hyderabad,2023-01-03,02:00:00,22.855022056821362,75.3587852345717,clear,wet,fatal
52,Mumbai,2023-01-03,03:00:00,15.28797978445725,79.93735587222551,rain,wet,serious
53,Mumbai,2023-01-03,04:00:00,20.335347399846032,87.89235279626389,rain,dry,serious
54,Delhi,2023-01-03,05:00:00,24.190714080133773,84.47248046932305,clear,wet,minor
55,Mumbai,2023-01-03,06:00:00,17.10798890323021,85.39748540167821,rain,wet,minor
56,Kolkata,2023-01-03,07:00:00,16.015841470340106,73.02192543122592,clear,wet,minor
57,Mumbai,2023-01-03,08:00:00,17.789846250768207,79.93896545588315,clear,under_construction,minor
58,Chennai,2023-01-03,09:00:00,16.63985998508605,82.78127602515514,rain,dry,minor
59,Chennai,2023-01-03,10:00:00,16.217110928878693,85.69751966968639,cloudy,dry,minor
60,Chennai,2023-01-03,11:00:00,19.55512840160258,73.28345109196607,clear,wet,minor
61,Chennai,2023-01-03,12:00:00,27.23463237074819,86.05377828170579,cloudy,wet,minor
62,Kolkata,2023-01-03,13:00:00,20.86224838314562,81.2195748941964,rain,icy,minor
63,Bangalore,2023-01-03,14:00:00,15.787934054963637,75.63729213215936,clear,dry,minor
64,Hyderabad,2023-01-03,15:00:00,14.0238495431559,77.54435794155023,fog,wet,serious
65,Delhi,2023-01-03,16:00:00,23.86888270769301,76.98267987284981,clear,dry,minor
66,Chennai,2023-01-03,17:00:00,18.886500354538565,80.94065864518677,cloudy,dry,minor
67,Mumbai,2023-01-03,18:00:00,25.867112050707213,73.321802310587,cloudy,dry,serious
68,Chennai,2023-01-03,19:00:00,23.286221221388246,75.02072492014878,clear,dry,fatal
69,Mumbai,2023-01-03,20:00:00,25.46023906360776,85.42181938967495,clear,dry,serious
70,Hyderabad,2023-01-03,21:00:00,17.123942026753333,74.6084034528743,clear,wet,minor
71,Hyderabad,2023-01-03,22:00:00,23.808506867130824,76.21100068438422,clear,dry,minor
72,Hyderabad,2023-01-03,23:00:00,16.99858555663013,79.7085926291061,clear,dry,fatal
73,Mumbai,2023-01-04,00:00:00,27.731188823259636,80.72222212100196,clear,dry,serious
74,Chennai,2023-01-04,01:00:00,22.918351076380652,84.64140662586513,rain,dry,minor
75,Hyderabad,2023-01-04,02:00:00,17.95973762278794,79.61258558399238,clear,icy,minor
76,Kolkata,2023-01-04,03:00:00,17.085238610447135,85.05884747446507,snow,dry,minor
77,Mumbai,2023-01-04,04:00:00,15.835732702639133,82.33170628202278,snow,dry,minor
78,Mumbai,2023-01-04,05:00:00,23.84479124641027,74.29828585683877,clear,wet,minor
79,Chennai,2023-01-04,06:00:00,16.277578246667044,74.98566987044613,cloudy,wet,minor
80,Mumbai,2023-01-04,07:00:00,22.265321928247076,79.44883623465135,clear,wet,fatal
81,Mumbai,2023-01-04,08:00:00,17.007696928113184,78.81054135011573,clear,wet,minor
82,Hyderabad,2023-01-04,09:00:00,23.32530622222251,84.32235388723299,rain,icy,serious
83,Chennai,2023-01-04,10:00:00,25.75754168379457,81.7337205227779,clear,dry,minor
84,Hyderabad,2023-01-04,11:00:00,25.170601365999985,78.67131598793577,rain,under_construction,minor
85,Hyderabad,2023-01-04,12:00:00,24.89753616179943,75.21508850686114,cloudy,wet,minor
86,Chennai,2023-01-04,13:00:00,15.784786250506809,76.10670992697537,cloudy,dry,serious
87,Delhi,2023-01-04,14:00:00,14.205320657053848,81.65046619365805,rain,wet,minor
88,Hyderabad,2023-01-04,15:00:00,23.91328637294943,79.23267699790671,fog,wet,minor
89,Kolkata,2023-01-04,16:00:00,18.656720699330187,80.6873473908847,clear,dry,serious
90,Kolkata,2023-01-04,17:00:00,19.674304999813224,75.21377122130552,clear,dry,minor
91,Mumbai,2023-01-04,18:00:00,13.295270575414918,83.0402094122786,fog,under_construction,fatal
92,Kolkata,2023-01-04,19:00:00,16.927265543473283,86.05536597960989,clear,dry,fatal
93,Mumbai,2023-01-04,20:00:00,13.335454821603978,76.60123815791172,clear,dry,fatal
94,Delhi,2023-01-04,21:00:00,26.77905378435984,80.31507619072605,clear,wet,minor
95,Chennai,2023-01-04,22:00:00,16.670007263174636,88.01088453143234,rain,dry,minor
96,Chennai,2023-01-04,23:00:00,21.661660996210827,77.79854367475657,clear,dry,fatal
97,Chennai,2023-01-05,00:00:00,13.419771198511974,81.96123688428781,rain,wet,minor
98,Kolkata,2023-01-05,01:00:00,23.402873521759965,73.93411163318389,clear,wet,minor
99,Delhi,2023-01-05,02:00:00,17.93613479749009,82.13563853942316,clear,dry,serious
100,Kolkata,2023-01-05,03:00:00,27.076915072626885,73.92514519554342,clear,under_construction,minor
101,Kolkata,2023-01-05,04:00:00,26.921079204051168,87.75184342164877,clear,dry,serious
102,Delhi,2023-01-05,05:00:00,17.97212083195179,83.87903616794975,cloudy,dry,serious
103,Delhi,2023-01-05,06:00:00,27.12527824147844,85.03174063135774,clear,dry,serious
104,Delhi,2023-01-05,07:00:00,28.638907008630582,83.69525933626903,clear,wet,minor
105,Delhi,2023-01-05,08:00:00,25.924109059570775,81.87669167361581,rain,dry,minor
106,Chennai,2023-01-05,09:00:00,26.23345442930814,79.65361321925954,clear,dry,minor
107,Bangalore,2023-01-05,10:00:00,16.75923890413453,86.14813673820089,clear,wet,minor
108,Bangalore,2023-01-05,11:00:00,21.969568141838323,87.71368711393471,clear,dry,minor
109,Delhi,2023-01-05,12:00:00,13.86936903208115,80.4346751491749,cloudy,wet,minor
110,Bangalore,2023-01-05,13:00:00,14.309195195464548,87.31140728156868,rain,dry,minor
111,Bangalore,2023-01-05,14:00:00,28.68239253132932,81.77499326881743,clear,under_construction,minor
112,Delhi,2023-01-05,15:00:00,17.993564065871986,81.0603085716533,clear,dry,serious
113,Bangalore,2023-01-05,16:00:00,24.69612420157666,79.72627545399017,clear,dry,minor
114,Kolkata,2023-01-05,17:00:00,25.62597434312638,75.8276754083289,clear,dry,minor
115,Mumbai,2023-01-05,18:00:00,26.442570009014943,72.55914260700715,rain,wet,minor
116,Mumbai,2023-01-05,19:00:00,28.66228992869429,76.33994900701137,cloudy,wet,serious
117,Delhi,2023-01-05,20:00:00,16.6397941155842,80.60459842849669,clear,dry,minor
118,Chennai,2023-01-05,21:00:00,13.441578147069226,78.54136324093007,snow,wet,minor
119,Delhi,2023-01-05,22:00:00,19.337945136113916,79.63091512524188,clear,dry,minor
120,Chennai,2023-01-05,23:00:00,14.868282650280257,88.09230669106839,clear,under_construction,minor
121,Mumbai,2023-01-06,00:00:00,13.156571637676677,78.06933069364231,clear,icy,fatal
122,Delhi,2023-01-06,01:00:00,18.530786551549628,79.68970873582572,clear,under_construction,fatal
123,Hyderabad,2023-01-06,02:00:00,25.261438192096257,74.62289726650984,cloudy,wet,minor
124,Kolkata,2023-01-06,03:00:00,21.802272990478627,73.2625279457481,clear,icy,serious
125,Bangalore,2023-01-06,04:00:00,17.77317002844463,84.82901128202067,clear,dry,serious
126,Chennai,2023-01-06,05:00:00,23.204037887334245,81.57386248364446,cloudy,wet,fatal
127,Hyderabad,2023-01-06,06:00:00,16.48908906691009,84.59520641609794,cloudy,wet,minor
128,Bangalore,2023-01-06,07:00:00,13.028664992546153,74.88281850229617,fog,under_construction,minor
129,Bangalore,2023-01-06,08:00:00,24.953218844339197,81.59207746180479,cloudy,dry,minor
130,Delhi,2023-01-06,09:00:00,22.717515049337745,76.53291534202788,clear,dry,minor
131,Bangalore,2023-01-06,10:00:00,24.920611729565262,76.12618288871032,snow,dry,minor
132,Kolkata,2023-01-06,11:00:00,13.419114465333884,72.68326362344247,rain,wet,serious
133,Hyderabad,2023-01-06,12:00:00,26.11020208250737,74.57241750474824,cloudy,dry,serious
134,Bangalore,2023-01-06,13:00:00,22.650466580577223,77.41736297284515,fog,dry,serious
135,Delhi,2023-01-06,14:00:00,21.75798607633098,74.35837229339593,clear,dry,minor
136,Kolkata,2023-01-06,15:00:00,22.731363365021053,88.17514920253392,fog,dry,minor
137,Mumbai,2023-01-06,16:00:00,26.544488625206988,77.40725911153082,clear,dry,minor
138,Hyderabad,2023-01-06,17:00:00,22.132290454286622,74.57215075256701,clear,dry,minor
139,Bangalore,2023-01-06,18:00:00,22.03711104022205,75.66540877396453,clear,icy,fatal
140,Delhi,2023-01-06,19:00:00,28.551798597345673,81.84448133062948,cloudy,wet,minor
141,Mumbai,2023-01-06,20:00:00,24.83200965639023,73.51829202945014,clear,dry,serious
142,Mumbai,2023-01-06,21:00:00,19.832471506673052,86.2127026692444,rain,wet,minor
143,Chennai,2023-01-06,22:00:00,24.04761230052355,87.78784489987065,clear,wet,minor
144,Kolkata,2023-01-06,23:00:00,18.98876449989944,76.42328398861136,cloudy,dry,minor
145,Bangalore,2023-01-07,00:00:00,16.439119853487632,79.65651477059467,clear,dry,minor
146,Delhi,2023-01-07,01:00:00,22.289944842515375,72.85193777136901,fog,wet,minor
147,Chennai,2023-01-07,02:00:00,27.558095360011826,82.68729257316282,cloudy,dry,minor
148,Kolkata,2023-01-07,03:00:00,27.573318368245857,79.08142432303616,clear,wet,minor
149,Chennai,2023-01-07,04:00:00,18.236293921877298,76.79392961101473,clear,dry,fatal
150,Hyderabad,2023-01-07,05:00:00,21.19007171292495,75.78871005880407,fog,dry,serious
151,Kolkata,2023-01-07,06:00:00,16.165010787260794,82.8989669347743,cloudy,under_construction,fatal
